accession_number,accession_date,title,maker,medium,description,classification,creation_date_avg
A.1.822,2013-07-01,(L to R) Carol Maynard and Eugénie Prendergast,,color photograph,,WCMA-Prendergast,1978.0
A.1.823,2013-07-01,Carol Maynard,,color photograph,,WCMA-Prendergast,1979.0
A.1.824,2013-07-01,Paul Maynard,,photograph,,WCMA-Prendergast,0.0
A.1.825,2013-07-01,Maynard family at a wedding,,color photograph,,WCMA-Prendergast,0.0
A.1.826,2013-07-01,Matted photograph of Antoinette Maynard and her children,,,,WCMA-Prendergast,0.0
A.1.827.A,2013-07-01,"Olana, NY including Eugénie Prendergast; Eugénie Prendergast",,color photograph,,WCMA-Prendergast,1979.0
A.1.828,2013-07-01,"Christmas 1981, Eugénie Prendergast at the Mason's",,color kodamatic film,,WCMA-Prendergast,1981.0
A.1.829,2013-07-01,Eugénie Prendergast and Antoinette Maynard,,color kodamatic film,,WCMA-Prendergast,1975.0
A.1.830,2013-07-01,Program from World Rehabilitation Dinner honoring Helen Hayes and Melvin R. Laird,,,,WCMA-Prendergast,1982.0
A.1.831,2013-07-01,"World Rehabilitation Dinner; (L to R) Helen Hayes, Eugénie Prendergast, Melvin R. Laird. Inscribed by Helen Hayes ""Dear Eugénie| Love| Helen Hayes| 1982""",,photograph,,WCMA-Prendergast,1982.0
A.1.832,2013-07-01,Matted photo of Vanessa (daughter of a friend),,photograph,,WCMA-Prendergast,1982.0
A.1.833,2013-07-01,Eugénie Prendergast and the Hansons (?),,color photograph,,WCMA-Prendergast,1983.0
A.1.834.A,2013-07-01,Eugénie Prendergast and Mr. Hanson,,photograph,,WCMA-Prendergast,1983.5
A.1.835,2013-07-01,Coolidge Wedding in Boston; Eugénie Prendergast and  male,,color photograph,,WCMA-Prendergast,1984.0
A.1.836,2013-07-01,Eugénie Prendergast holding an infant on her lap,,color photograph,,WCMA-Prendergast,1984.0
A.1.837,2013-07-01,Eugénie Prendergast and others at Williams College,,color photograph,,WCMA-Prendergast,1984.0
A.1.838.A,2013-07-01,Eugénie Prendergast's 90th birthday party; (L to R) Eugénie Prendergast and woman,,color photograph,,WCMA-Prendergast,1984.0
A.1.799.B,2013-07-01,House on Compo Road,,Kodacolor print,,WCMA-Prendergast,1962.5
A.1.799.C,2013-07-01,House on Compo Road,,Kodacolor print,,WCMA-Prendergast,1962.5
A.1.799.D,2013-07-01,House on Compo Road,,,,WCMA-Prendergast,1962.5
A.1.801.B,2013-07-01,"Eugénie Prendergast and relatives in Malmaison, France; two girls",,color photograph,,WCMA-Prendergast,1965.0
A.1.801.C,2013-07-01,"Eugénie Prendergast and relatives in Malmaison, France; Eugénie Prendergast with female relative",,color photograph,,WCMA-Prendergast,1965.0
A.1.801.D,2013-07-01,"Eugénie Prendergast and relatives in Malmaison, France; Eugénie Prendergast",,color photograph,,WCMA-Prendergast,1965.0
A.1.801.E,2013-07-01,"Eugénie Prendergast and relatives in Malmaison, France; Laurence and Catherine Brehon",,color photograph,,WCMA-Prendergast,1965.0
A.1.802.B,2013-07-01,Series of house on Compo Road,,color photograph,,WCMA-Prendergast,1965.0
A.1.802.C,2013-07-01,Series of house on Compo Road,,color photograph,,WCMA-Prendergast,1965.0
A.1.802.D,2013-07-01,Series of house on Compo Road,,color photograph,,WCMA-Prendergast,1965.0
A.1.802.E,2013-07-01,Series of house on Compo Road,,color photograph,,WCMA-Prendergast,1965.0
A.1.802.F,2013-07-01,Series of house on Compo Road,,color photograph,,WCMA-Prendergast,1965.0
A.1.802.G,2013-07-01,Series of house on Compo Road,,color photograph,,WCMA-Prendergast,1965.0
A.1.802.H,2013-07-01,Series of house on Compo Road,,color photograph,,WCMA-Prendergast,1965.0
A.1.802.I,2013-07-01,"Series of house on Compo Road; (L to R) Mr. Brumbaugh, Eugénie Prendergast",,color photograph,,WCMA-Prendergast,1965.0
A.1.802.J,2013-07-01,Series of house on Compo Road; the Brumabaugh's with Eugénie Prendergast (2nd from left),,color photograph,,WCMA-Prendergast,1965.0
A.1.802.K,2013-07-01,Series of house on Compo Road; Eugénie Prendergast,,color photograph,,WCMA-Prendergast,1965.0
A.1.802.L,2013-07-01,Series of house on Compo Road; Margaret Connor,,color photograph,,WCMA-Prendergast,1965.0
A.1.803.B,2013-07-01,Series of house on Compo Road including Eugénie Prendergast,,color photograph,,WCMA-Prendergast,1966.0
A.1.803.C,2013-07-01,Series of house on Compo Road including Eugénie Prendergast,,color photograph,,WCMA-Prendergast,1966.0
A.1.803.D,2013-07-01,Series of house on Compo Road including Eugénie Prendergast; Eugénie Prendergast standing outside in doorway,,color photograph,,WCMA-Prendergast,1966.0
A.1.803.E,2013-07-01,Series of house on Compo Road including Eugénie Prendergast,,color photograph,,WCMA-Prendergast,1966.0
A.1.803.F,2013-07-01,Series of house on Compo Road including Eugénie Prendergast,,color photograph,,WCMA-Prendergast,1966.0
A.1.803.G,2013-07-01,Series of house on Compo Road including Eugénie Prendergast,,color photograph,,WCMA-Prendergast,1966.0
A.1.803.H,2013-07-01,Series of house on Compo Road including Eugénie Prendergast,,color photograph,,WCMA-Prendergast,1966.0
A.1.803.I,2013-07-01,Series of house on Compo Road including Eugénie Prendergast; Eugénie Prendergast standing outside in doorway,,color photograph,,WCMA-Prendergast,1966.0
A.1.803.J,2013-07-01,House on Compo Road including Eugénie Prendergast; Eugénie Prendergast standing outside in doorway,,color photograph,,WCMA-Prendergast,1966.0
A.1.804.B,2013-07-01,"Series at Compo Road house including Robert Brady, Mr. Van Johnson, Mrs. Van Johnson (?), Mr. Bowden, and  woman; (L to R) Van Johnson,  woman, Robert Brady",,color photograph,,WCMA-Prendergast,1966.0
A.1.804.C,2013-07-01,"Series at Compo Road house including Robert Brady, Mr. Van Johnson, Mrs. Van Johnson (?), Mr. Bowden, and  woman; (L to R)Robert Brady, Mrs. Van Johnson (?), Van Johnson, Mr. Bowden",,color photograph,,WCMA-Prendergast,1966.0
A.1.804.D,2013-07-01,"Series at Compo Road house including Robert Brady, Mr. Van Johnson, Mrs. Van Johnson (?), Mr. Bowden, and  woman; (L to R) Eugénie Prendergast, Robert Brady, Mrs. Van Johnson (?), Van Johnson",,color photograph,,WCMA-Prendergast,1966.0
A.1.804.E,2013-07-01,"Series at Compo Road house including Robert Brady, Mr. Van Johnson, Mrs. Van Johnson (?), Mr. Bowden, and  woman; front: (L to R) Van Johnson, Mrs. Van Johnson (?) back: (L to R) Robert Brady, Mr. Bowden",,color photograph,,WCMA-Prendergast,1966.0
A.1.804.F,2013-07-01,"Series at Compo Road house including Robert Brady, Mr. Van Johnson, Mrs. Van Johnson (?), Mr. Bowden, and  woman; (L to R) Van Johnson, Mrs. Van Johnson (?), Robert Brady, Eugénie Prendergast",,color photograph,,WCMA-Prendergast,1966.0
A.1.804.G,2013-07-01,"Series at Compo Road house including Robert Brady, Mr. Van Johnson, Mrs. Van Johnson (?), Mr. Bowden, and  woman; (L to R) Eugénie Prendergast, and  woman",,color photograph,,WCMA-Prendergast,1966.0
A.1.804.H,2013-07-01,"Series at Compo Road house including Robert Brady, Mr. Van Johnson, Mrs. Van Johnson (?), Mr. Bowden, and  woman; (L to R) Robert Brady, Mrs. Van Johsnon (?), Van Johsnon, Eugénie Prendergast",,color photograph,,WCMA-Prendergast,1966.0
A.1.804.I,2013-07-01,"Series at Compo Road house including Robert Brady, Mr. Van Johnson, Mrs. Van Johnson (?), Mr. Bowden, and  woman; (L to R) Robert Brady, Van Johnson, Mrs. Van Johsnon, Mr. Bowden",,color photograph,,WCMA-Prendergast,1966.0
A.1.804.J,2013-07-01,"Series at Compo Road house including Robert Brady, Mr. Van Johnson, Mrs. Van Johnson (?), Mr. Bowden, and  woman; in front of house (L to R) Robert Brady, Mrs. Van Johsnon (?), Van Johsnon, Eugénie Prendergast",,color photograph,,WCMA-Prendergast,1966.0
A.1.804.K,2013-07-01,"Series at Compo Road house including Robert Brady, Mr. Van Johnson, Mrs. Van Johnson (?), Mr. Bowden, and  woman; (L to R) Robert Brady, Mrs. Van Johsnon (?), Van Johsnon",,color photograph,,WCMA-Prendergast,1966.0
A.1.805.B,2013-07-01,The Brehon children,,Photograph,,WCMA-Prendergast,1967.0
A.1.806.B,2013-07-01,Series in Palm Beach Florida,,Kodacolor print,,WCMA-Prendergast,1967.0
A.1.806.C,2013-07-01,Series in Palm Beach Florida,,Kodacolor print,,WCMA-Prendergast,1967.0
A.1.806.D,2013-07-01,Series in Palm Beach Florida,,Kodacolor print,,WCMA-Prendergast,1967.0
A.1.806.E,2013-07-01,Series in Palm Beach Florida; two women near pool,,Kodacolor print,,WCMA-Prendergast,1967.0
A.1.806.F,2013-07-01,Series in Palm Beach Florida; two women near pool,,Kodacolor print,,WCMA-Prendergast,1967.0
A.1.806.G,2013-07-01,Series in Palm Beach Florida; two women near pool,,Kodacolor print,,WCMA-Prendergast,1967.0
A.1.806.H,2013-07-01,Series in Palm Beach Florida; two women near pool,,Kodacolor print,,WCMA-Prendergast,1967.0
A.1.806.I,2013-07-01,Series in Palm Beach Florida; woman outside hotel,,Kodacolor print,,WCMA-Prendergast,1967.0
A.1.806.J,2013-07-01,Series in Palm Beach Florida; people outside hotel near pool,,Kodacolor print,,WCMA-Prendergast,1967.0
A.1.806.K,2013-07-01,Series in Palm Beach Florida; woman outside hotel,,Kodacolor print,,WCMA-Prendergast,1967.0
A.1.806.L,2013-07-01,Series in Palm Beach Florida,,Kodacolor print,,WCMA-Prendergast,1967.0
A.1.806.M,2013-07-01,Series in Palm Beach Florida,,Kodacolor print,,WCMA-Prendergast,1967.0
A.1.806.N,2013-07-01,Series in Palm Beach Florida,,Kodacolor print,,WCMA-Prendergast,1967.0
A.1.807.B,2013-07-01,Compo road house including Eugénie Prendergast and  male;  male in front of house,,color photograph,,WCMA-Prendergast,1967.0
A.1.807.C,2013-07-01,Compo road house including Eugénie Prendergast and  male; front of house,,color photograph,,WCMA-Prendergast,1967.0
A.1.808.B,2013-07-01,Gorham house at various times of the year; Spring/Summer,,Kodacolor print,,WCMA-Prendergast,1967.0
A.1.808.C,2013-07-01,Gorham house at various times of the year; Winter,,Kodacolor print,,WCMA-Prendergast,1967.0
A.1.808.D,2013-07-01,Gorham house at various times of the year; Winter,,Kodacolor print,,WCMA-Prendergast,1967.0
A.1.810.B,2013-07-01,House at Compo Road at various times of year including Eugénie Prendergast and  women standing in front; Eugénie Prendergast in front of house,,Kodacolor print,,WCMA-Prendergast,1967.0
A.1.810.C,2013-07-01,House at Compo Road at various times of year including Eugénie Prendergast and  women standing in front; house in winter,,Kodacolor print,,WCMA-Prendergast,1967.0
A.1.810.D,2013-07-01,House at Compo Road at various times of year including Eugénie Prendergast and  women standing in front; house in winter,,Kodacolor print,,WCMA-Prendergast,1967.0
A.1.810.E,2013-07-01,House at Compo Road at various times of year including Eugénie Prendergast and  women standing in front;  woman standing in front,,Kodacolor print,,WCMA-Prendergast,1967.0
A.1.810.F,2013-07-01,House at Compo Road at various times of year including Eugénie Prendergast and  women standing in front;  woman standing in front,,Kodacolor print,,WCMA-Prendergast,1967.0
A.1.810.G,2013-07-01,House at Compo Road at various times of year including Eugénie Prendergast and  women standing in front; Eugénie Prendergast in front of house,,Kodacolor print,,WCMA-Prendergast,1967.0
A.1.810.H,2013-07-01,House at Compo Road at various times of year including Eugénie Prendergast and  women standing in front; Eugénie Prendergast in front of house,,Kodacolor print,,WCMA-Prendergast,1967.0
A.1.810.I,2013-07-01,House at Compo Road at various times of year including Eugénie Prendergast and  women standing in front; yard,,Kodacolor print,,WCMA-Prendergast,1967.0
A.1.810.J,2013-07-01,House at Compo Road at various times of year including Eugénie Prendergast and  women standing in front;  woman,,Kodacolor print,,WCMA-Prendergast,1967.0
A.1.810.K,2013-07-01,House at Compo Road at various times of year including Eugénie Prendergast and  women standing in front; Eugénie Prendergast in yard,,Kodacolor print,,WCMA-Prendergast,1967.0
A.1.810.L,2013-07-01,House at Compo Road at various times of year including Eugénie Prendergast and  women standing in front;  woman in front of house,,Kodacolor print,,WCMA-Prendergast,1967.0
A.1.810.M,2013-07-01,House at Compo Road at various times of year including Eugénie Prendergast and  women standing in front; Eugénie Prendergast in front of house,,Kodacolor print,,WCMA-Prendergast,1967.0
A.1.810.N,2013-07-01,House at Compo Road at various times of year including Eugénie Prendergast and  women standing in front; yard,,Kodacolor print,,WCMA-Prendergast,1967.0
A.1.810.O,2013-07-01,House at Compo Road at various times of year including Eugénie Prendergast and  women standing in front; Eugénie Prendergast in front of house,,Kodacolor print,,WCMA-Prendergast,1967.0
A.1.810.P,2013-07-01,House at Compo Road at various times of year including Eugénie Prendergast and  women standing in front; Eugénie Prendergast in front of house,,Kodacolor print,,WCMA-Prendergast,1967.0
A.1.812.B,2013-07-01,"Charles Prendergast Exhibition at MFA Boston; (L to R) Eugénie Prendergast, Robert Brady, and Perry Rathbone",,photograph,,WCMA-Prendergast,1968.0
A.1.816.B,2013-07-01,Series including Eugénie Prendergast and family members in France; Brehon family seated on bench,,color photograph,,WCMA-Prendergast,1968.5
A.1.816.C,2013-07-01,Series including Eugénie Prendergast and family members in France; Eugénie Prendergast with friends,,color photograph,,WCMA-Prendergast,1968.5
A.1.816.D,2013-07-01,Series including Eugénie Prendergast and family members in France; Francine Brehon with friends,,color photograph,,WCMA-Prendergast,1968.5
A.1.816.E,2013-07-01,Series including Eugénie Prendergast and family members in France; Eugénie Prendergast with friends,,color photograph,,WCMA-Prendergast,1968.5
A.1.816.F,2013-07-01,Series including Eugénie Prendergast and family members in France; Laurence brehon (?),,color photograph,,WCMA-Prendergast,1968.5
A.1.816.G,2013-07-01,Series including Eugénie Prendergast and family members in France; Eugénie Prendergast with Brehon girls and Mr. Brehon,,color photograph,,WCMA-Prendergast,1968.5
A.1.816.H,2013-07-01,Series including Eugénie Prendergast and family members in France; Brehon family,,color photograph,,WCMA-Prendergast,1968.5
A.1.816.I,2013-07-01,Series including Eugénie Prendergast and family members in France; Brehon children,,color photograph,,WCMA-Prendergast,1968.5
A.1.816.J,2013-07-01,Series including Eugénie Prendergast and family members in France; Anne  Leclerc age 3 1/2,,color photograph,,WCMA-Prendergast,1968.5
A.1.816.K,2013-07-01,Series including Eugénie Prendergast and family members in France; Catherine Leclerc 5 1/2,,color photograph,,WCMA-Prendergast,1968.5
A.1.816.L,2013-07-01,Series including Eugénie Prendergast and family members in France; Catherine Leclerc 4 1/2,,color photograph,,WCMA-Prendergast,1968.5
A.1.816.M,2013-07-01,Series including Eugénie Prendergast and family members in France; Anne Leclerc 3 1/2,,color photograph,,WCMA-Prendergast,1968.5
A.1.816.N,2013-07-01,Series including Eugénie Prendergast and family members in France; Cozine (?) 7,,color photograph,,WCMA-Prendergast,1968.5
A.1.816.O,2013-07-01,"Series including Eugénie Prendergast and family members in France; Florence, 11",,color photograph,,WCMA-Prendergast,1968.5
A.1.816.P,2013-07-01,"Series including Eugénie Prendergast and family members in France; Veronique, 13",,color photograph,,WCMA-Prendergast,1968.5
A.1.816.Q,2013-07-01,"Series including Eugénie Prendergast and family members in France; Patricia, 9",,color photograph,,WCMA-Prendergast,1968.5
A.1.817.B,2013-07-01,"Eugénie Prendergast in Nice, France",,color photograph,,WCMA-Prendergast,1971.0
A.1.818.B,2013-07-01,Eugénie Prendergast at Compo Road house,,Kodacolor print,,WCMA-Prendergast,1972.5
A.1.818.C,2013-07-01,Eugénie Prendergast at Compo Road house,,Kodacolor print,,WCMA-Prendergast,1972.5
A.1.819.B,2013-07-01,Eugénie Prendergast in front of statue,,Color photograph,,WCMA-Prendergast,1975.0
A.1.821.B,2013-07-01,"Series including Eugénie Prendergast, Antoinette Maynard, and Libby Maynard; (L to R) Eugénie Prendergast, Libby Maynard inside",,color photograph,,WCMA-Prendergast,1977.0
A.1.821.C,2013-07-01,"Series including Eugénie Prendergast, Antoinette Maynard, and Libby Maynard; (L to R) Eugénie Prendergast, Libby Maynard inside",,color photograph,,WCMA-Prendergast,1977.0
A.1.821.D,2013-07-01,"Series including Eugénie Prendergast, Antoinette Maynard, and Libby Maynard; (L to R) Eugénie Prendergast, Antoinette Maynard inside underneath Charles Prendergast painting ""The Fountain""",,color photograph,,WCMA-Prendergast,1977.0
A.1.821.E,2013-07-01,"Series including Eugénie Prendergast, Antoinette Maynard, and Libby Maynard; (L to R) Eugénie Prendergast, Antoinette Maynard inside underneath Charles Prendergast painting ""The Fountain""",,color photograph,,WCMA-Prendergast,1977.0
A.1.821.F,2013-07-01,"Series including Eugénie Prendergast, Antoinette Maynard, and Libby Maynard; (L to R) Eugénie Prendergast, Antoinette Maynard inside underneath Charles Prendergast painting ""The Fountain""",,color photograph,,WCMA-Prendergast,1977.0
A.1.821.G,2013-07-01,"Series including Eugénie Prendergast, Antoinette Maynard, and Libby Maynard; (L to R) Eugénie Prendergast, Antoinette Maynard inside underneath Charles Prendergast painting ""The Fountain""",,color photograph,,WCMA-Prendergast,1977.0
A.1.821.H,2013-07-01,"Series including Eugénie Prendergast, Antoinette Maynard, and Libby Maynard; (L to R) Eugénie Prendergast, Antoinette Maynard inside underneath Charles Prendergast painting ""The Fountain""",,color photograph,,WCMA-Prendergast,1977.0
